# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "GCF_000203835.1_ASM20383v1_genomic_combined.gtf" "-s" "2" "-O" "-M" "--fraction" "-t" "transcript" "-g" "locus_tag" "--extraAttributes" "gene_name" "-o" "counts.txt" "--minOverlap" "10" "--fracOverlap" "0.9" "QSC18022AV_20220218090211__M512cpz_Tube_1_2d_S4_R1_001.sorted.bam" "QSC18034AK_20220218090211__M512lpm_Tube_1_4d_S16_R1_001.sorted.bam" "QSC18021AN_20220218090211__M512_Tube_3_2d_S3_R1_001.sorted.bam" "QSC18030AM_20220218090211__M512_Tube_3_4d_S12_R1_001.sorted.bam" "QSC18026AT_20220218090211__M512lpm_Tube_2_2d_S8_R1_001.sorted.bam" "QSC18024AD_20220218090211__M512cpz_Tube_3_2d_S6_R1_001.sorted.bam" "QSC18023A5_20220218090211__M512cpz_Tube_2_2d_S5_R1_001.sorted.bam" "QSC18036A2_20220218090212__M512lpm_Tube_3_4d_S18_R1_001.sorted.bam" "QSC18028AB_20220218090211__M512_Tube_1_4d_S10_R1_001.sorted.bam" "QSC18033AC_20220218090211__M512cpz_Tube_3_4d_S15_R1_001.sorted.bam" "QSC18019AC_20220218090011__M512_Tube_1_2d_S1_R1_001.sorted.bam" "QSC18029AJ_20220218090211__M512_Tube_2_4d_S11_R1_001.sorted.bam" "QSC18032A4_20220218090211__M512cpz_Tube_2_4d_S14_R1_001.sorted.bam" "QSC18031AU_20220218090211__M512cpz_Tube_1_4d_S13_R1_001.sorted.bam" "QSC18020AF_20220218090012__M512_Tube_2_2d_S2_R1_001.sorted.bam" "QSC18025AL_20220218090211__M512lpm_Tube_1_2d_S7_R1_001.sorted.bam" "QSC18027A3_20220218090211__M512lpm_Tube_3_2d_S9_R1_001.sorted.bam" "QSC18035AS_20220218090211__M512lpm_Tube_2_4d_S17_R1_001.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	gene_name	QSC18022AV_20220218090211__M512cpz_Tube_1_2d_S4_R1_001.sorted.bam	QSC18034AK_20220218090211__M512lpm_Tube_1_4d_S16_R1_001.sorted.bam	QSC18021AN_20220218090211__M512_Tube_3_2d_S3_R1_001.sorted.bam	QSC18030AM_20220218090211__M512_Tube_3_4d_S12_R1_001.sorted.bam	QSC18026AT_20220218090211__M512lpm_Tube_2_2d_S8_R1_001.sorted.bam	QSC18024AD_20220218090211__M512cpz_Tube_3_2d_S6_R1_001.sorted.bam	QSC18023A5_20220218090211__M512cpz_Tube_2_2d_S5_R1_001.sorted.bam	QSC18036A2_20220218090212__M512lpm_Tube_3_4d_S18_R1_001.sorted.bam	QSC18028AB_20220218090211__M512_Tube_1_4d_S10_R1_001.sorted.bam	QSC18033AC_20220218090211__M512cpz_Tube_3_4d_S15_R1_001.sorted.bam	QSC18019AC_20220218090011__M512_Tube_1_2d_S1_R1_001.sorted.bam	QSC18029AJ_20220218090211__M512_Tube_2_4d_S11_R1_001.sorted.bam	QSC18032A4_20220218090211__M512cpz_Tube_2_4d_S14_R1_001.sorted.bam	QSC18031AU_20220218090211__M512cpz_Tube_1_4d_S13_R1_001.sorted.bam	QSC18020AF_20220218090012__M512_Tube_2_2d_S2_R1_001.sorted.bam	QSC18025AL_20220218090211__M512lpm_Tube_1_2d_S7_R1_001.sorted.bam	QSC18027A3_20220218090211__M512lpm_Tube_3_2d_S9_R1_001.sorted.bam	QSC18035AS_20220218090211__M512lpm_Tube_2_4d_S17_R1_001.sorted.bam
SCO3782	NC_003888.3	4158580	4159929	-	1350	NA	8	26	39	17	6	21	5	35	2	31	16	11	86	6	3	45	19	4
SCO3783	NC_003888.3	4160042	4160218	+	177	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
SCO3784	NC_003888.3	4160268	4161347	-	1080	NA	7	9	22	3	1	14	7	8	0	14	8	4	17	7	2	6	4	3
SCO3785	NC_003888.3	4161431	4162660	-	1230	NA	3	5	5	3	0	2	0	1	3	9	4	2	4	4	1	5	1	0
SCO3786	NC_003888.3	4162785	4163303	+	519	NA	1	1	7	6	2	2	1	4	3	2	0	2	0	7	0	5	2	0
SCO3787	NC_003888.3	4163376	4164320	+	945	NA	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
SCO3788	NC_003888.3	4164327	4164737	+	411	NA	3	4	7	0	2	2	2	6	3	3	3	3	9	1	0	1	1	0
SCO3789	NC_003888.3	4164773	4165789	+	1017	NA	9	6	8	2	1	2	4	2	0	7	1	5	14	8	0	6	2	1
SCO3790	NC_003888.3	4165816	4167894	-	2079	NA	961	522	964	246	260	908	625	843	274	985	823	313	1238	715	70	2063	648	184
SCO3791	NC_003888.3	4168158	4169495	+	1338	NA	69	40	116	23	15	77	73	46	22	56	71	29	132	51	5	150	54	7
SCO3792	NC_003888.3	4169611	4171227	+	1617	NA	846	926	1495	510	360	1092	520	1226	679	960	1605	370	1575	888	101	3058	1040	198
SCO3793	NC_003888.3	4171328	4171693	+	366	NA	10	21	84	24	12	28	16	49	38	20	133	35	22	32	19	75	38	2
SCO3794	NC_003888.3	4171889	4172662	-	774	NA	116	118	222	62	36	105	58	163	54	131	127	80	335	135	17	295	126	28
SCO3795	NC_003888.3	4172747	4174510	-	1764	aspS	1385	1449	1946	621	598	1539	856	2025	819	1912	1839	570	2634	1618	130	4814	1615	311
SCO3796	NC_003888.3	4174717	4176885	+	2169	NA	22	33	17	3	1	18	13	25	12	31	21	5	44	24	1	47	19	6
SCO3797	NC_003888.3	4176813	4177901	-	1089	NA	0	1	0	0	0	0	0	5	0	0	0	2	1	1	0	0	1	0
SCO3798	NC_003888.3	4177967	4178944	-	978	NA	6	16	11	1	10	9	19	37	3	7	11	4	146	8	2	46	10	2
SCO3799	NC_003888.3	4179065	4179535	-	471	NA	301	324	720	225	272	501	212	488	193	362	329	157	471	349	46	1153	342	59
SCO3800	NC_003888.3	4179684	4181510	+	1827	NA	186	208	211	56	62	142	204	369	109	172	229	155	660	172	14	374	143	46
SCO3801	NC_003888.3	4181609	4182907	+	1299	NA	30	25	51	16	11	39	27	31	18	42	35	16	60	20	2	59	25	2
SCO3802	NC_003888.3	4183022	4183273	+	252	NA	38	46	40	9	12	39	31	52	16	67	18	11	74	47	6	116	25	8
SCO3803	NC_003888.3	4183333	4183737	-	405	NA	6	6	8	2	0	7	3	10	1	4	6	5	7	6	0	19	4	0
SCO3804	NC_003888.3	4183789	4184793	+	1005	NA	7	9	14	2	1	4	6	8	4	7	4	3	21	19	0	9	3	1
SCO3805	NC_003888.3	4184790	4185284	+	495	NA	9	5	3	1	1	7	10	12	1	4	15	1	7	11	0	32	6	0
SCO3806	NC_003888.3	4185307	4185765	-	459	NA	15	17	6	5	6	18	6	20	1	14	16	5	22	5	1	52	9	1
SCO3807	NC_003888.3	4185833	4186627	-	795	NA	98	134	146	47	27	150	56	214	76	161	133	36	298	163	9	358	121	12
SCO3808	NC_003888.3	4186809	4187633	+	825	NA	25	37	62	37	26	65	47	79	37	58	108	38	115	48	3	348	86	8
SCO3809	NC_003888.3	4187758	4189068	-	1311	NA	24	34	75	24	6	82	17	59	22	112	44	17	125	44	4	95	39	3
SCO3810	NC_003888.3	4189065	4189715	-	651	NA	43	83	119	47	24	132	26	85	40	178	88	18	181	151	6	186	76	5
SCO3811	NC_003888.3	4189937	4190881	+	945	NA	51	31	79	28	25	67	77	48	28	39	190	19	117	60	2	381	112	11
SCO3812	NC_003888.3	4190999	4191346	+	348	NA	9	4	9	7	4	12	6	17	0	12	3	4	19	2	0	5	5	3
SCO3813	NC_003888.3	4191343	4192329	+	987	NA	1	7	0	3	2	12	3	3	2	9	2	4	18	2	0	13	4	0
SCO3814	NC_003888.3	4192477	4193454	+	978	NA	37	43	49	21	20	45	29	71	28	63	75	19	107	65	2	154	65	7
SCO3815	NC_003888.3	4193532	4194941	-	1410	NA	322	294	391	154	97	288	134	382	112	325	314	109	570	371	35	759	212	46
SCO3816	NC_003888.3	4194961	4195941	-	981	NA	164	137	218	61	49	249	96	269	94	241	277	74	379	257	25	668	176	36
SCO3817	NC_003888.3	4195943	4197196	-	1254	NA	183	156	240	105	70	331	131	325	104	306	230	114	447	277	25	637	179	38
SCO3818	NC_003888.3	4197520	4198176	+	657	NA	13	8	19	0	3	25	3	20	6	13	17	8	38	14	0	21	9	0
SCO3819	NC_003888.3	4198301	4198708	+	408	NA	2	8	28	6	3	1	5	9	14	4	27	1	9	5	0	24	3	3
SCO3820	NC_003888.3	4198795	4200363	-	1569	NA	343	423	533	203	149	412	188	556	179	379	404	142	1059	398	32	1167	285	70
SCO3821	NC_003888.3	4200767	4202437	+	1671	NA	194	266	278	83	63	236	161	235	113	380	215	60	612	278	35	554	179	53
SCO3822	NC_003888.3	4202553	4203092	-	540	NA	549	521	694	161	154	530	231	438	184	546	345	160	1135	527	54	793	406	152
SCO3823	NC_003888.3	4204101	4205081	-	981	NA	44	65	87	25	16	78	51	118	38	99	57	40	144	86	6	142	55	11
SCO3824	NC_003888.3	4205224	4206252	+	1029	NA	47	31	10	16	16	27	10	50	10	131	15	11	119	61	0	88	15	16
SCO3825	NC_003888.3	4206249	4207097	+	849	NA	44	35	35	17	13	41	41	89	12	102	25	16	119	55	2	205	30	22
SCO3826	NC_003888.3	4207170	4208267	-	1098	NA	112	123	144	42	58	174	104	166	61	162	156	34	239	127	13	425	121	21
SCO3827	NC_003888.3	4208264	4209661	-	1398	NA	7	5	9	4	4	15	2	12	3	8	12	4	10	12	0	28	7	1
SCO3828	NC_003888.3	4209661	4210572	-	912	NA	2	1	3	2	0	5	1	3	1	7	3	1	7	3	1	2	5	0
SCO3829	NC_003888.3	4210796	4212271	-	1476	NA	137	108	58	42	11	37	70	95	46	127	42	31	146	130	20	91	26	11
SCO3830	NC_003888.3	4212271	4213275	-	1005	NA	225	203	144	38	25	83	148	179	54	227	42	35	366	189	25	196	52	33
SCO3831	NC_003888.3	4213272	4214438	-	1167	NA	32	30	1	5	5	0	26	23	6	20	0	5	5	28	8	2	0	1
SCO3832	NC_003888.3	4214734	4215141	+	408	NA	16	2	12	0	1	7	4	18	7	7	8	6	15	8	0	30	8	2
SCO3833	NC_003888.3	4215177	4215806	-	630	NA	34	36	20	20	14	11	25	52	23	43	13	10	59	37	4	40	5	18
SCO3834	NC_003888.3	4215803	4217317	-	1515	NA	79	56	48	24	20	50	49	117	44	109	19	34	130	94	7	65	16	15
SCO3835	NC_003888.3	4217476	4219167	+	1692	NA	107	61	47	22	17	7	104	116	34	76	21	35	94	101	15	25	8	21
SCO3836	NC_003888.3	4219178	4219963	-	786	NA	7	3	11	3	5	13	2	10	5	5	1	6	20	4	1	11	2	0
SCO3837	NC_003888.3	4219960	4221270	-	1311	NA	60	77	73	27	18	83	50	108	39	81	82	33	200	72	7	175	52	24
SCO3838	NC_003888.3	4221267	4222505	-	1239	NA	51	56	58	17	12	78	32	44	18	41	31	25	120	43	6	132	34	22
SCO3839	NC_003888.3	4222523	4222852	-	330	NA	25	36	46	12	8	34	10	59	23	39	26	13	58	51	4	61	22	10
SCO3840	NC_003888.3	4222903	4223718	-	816	NA	31	43	31	13	16	52	21	54	28	39	50	12	89	42	4	117	33	11
SCO3841	NC_003888.3	4223858	4225387	-	1530	NA	3	5	1	5	3	6	0	7	6	11	4	3	5	8	0	2	1	0
SCO3842	NC_003888.3	4225790	4226674	+	885	NA	3	3	1	1	2	7	2	6	1	4	16	2	4	2	1	22	4	0
SCOt31	NC_003888.3	4226761	4226847	-	87	NA	1	0	7	1	0	0	1	1	1	1	0	0	4	5	0	0	0	2
SCO3843	NC_003888.3	4227374	4228246	+	873	NA	705	494	718	224	222	875	594	768	304	870	905	245	1363	772	73	2204	712	168
SCO3844	NC_003888.3	4228257	4228775	+	519	NA	156	117	218	52	55	173	92	173	62	161	159	51	310	104	16	394	156	9
SCO3845	NC_003888.3	4228917	4230464	+	1548	NA	621	473	743	182	267	887	459	701	271	601	1076	195	1234	639	61	2410	743	61
SCO3846	NC_003888.3	4230492	4231931	+	1440	NA	704	461	791	301	381	930	610	957	273	770	1153	309	1519	684	89	2936	1061	121
SCO3847	NC_003888.3	4231928	4233400	+	1473	NA	483	434	918	251	320	664	381	542	205	488	804	209	956	390	63	1906	677	89
SCO3848	NC_003888.3	4233591	4235612	+	2022	NA	1738	1476	2777	750	698	2150	1114	1712	720	1683	2520	632	2728	1674	146	7204	1691	258
SCO3849	NC_003888.3	4235691	4236452	-	762	NA	112	163	243	76	53	162	69	206	68	135	198	33	193	131	16	478	114	12
SCO3850	NC_003888.3	4236466	4237524	-	1059	NA	76	109	117	31	26	117	35	95	51	69	125	33	144	71	3	245	73	22
SCO3851	NC_003888.3	4237521	4238159	-	639	NA	149	267	334	126	76	229	117	347	134	279	263	96	472	238	33	661	166	33
SCO3852	NC_003888.3	4238156	4238365	-	210	NA	121	314	362	149	83	165	116	410	131	222	227	92	383	272	19	427	288	70
SCO3853	NC_003888.3	4238399	4239112	-	714	NA	194	170	245	64	86	170	92	200	82	214	199	61	447	201	10	370	172	38
SCO3854	NC_003888.3	4239330	4239584	+	255	NA	433	440	591	127	162	402	195	533	230	423	337	105	599	366	42	1098	372	106
SCO3855	NC_003888.3	4239852	4240745	-	894	NA	57	49	88	23	28	111	40	96	48	71	148	24	134	89	8	301	99	17
SCO3856	NC_003888.3	4240850	4241383	-	534	NA	77	68	154	44	58	171	105	138	44	81	190	42	134	113	25	637	204	21
SCO3857	NC_003888.3	4241704	4242402	+	699	NA	43	53	48	7	18	54	24	41	18	75	28	16	78	58	0	47	19	7
SCO3858	NC_003888.3	4242512	4243288	-	777	NA	249	293	511	140	142	402	179	332	118	283	450	97	635	261	17	1017	424	52
SCOt32	NC_003888.3	4243682	4243757	-	76	NA	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0
SCO3859	NC_003888.3	4243938	4244486	+	549	NA	20	14	10	8	3	37	4	29	5	24	42	9	56	13	0	98	26	2
SCO3860	NC_003888.3	4244573	4246303	+	1731	NA	16	43	64	8	6	49	16	35	16	38	54	14	61	32	11	144	28	5
SCO3861	NC_003888.3	4246345	4247670	-	1326	NA	47	40	69	17	9	48	30	57	19	30	44	12	84	30	4	90	32	3
SCO3862	NC_003888.3	4247800	4248081	-	282	NA	427	271	1203	117	182	335	200	224	86	168	224	107	257	254	38	506	258	71
SCO3863	NC_003888.3	4248267	4248656	+	390	NA	6	0	6	2	1	9	3	6	3	2	1	3	2	2	0	8	2	0
SCO3864	NC_003888.3	4248804	4249592	+	789	NA	19	9	20	8	5	15	7	14	9	23	17	11	42	9	8	55	13	4
SCO3865	NC_003888.3	4249601	4250383	+	783	NA	23	17	33	8	6	16	8	24	20	15	16	11	61	18	0	42	18	5
SCO3866	NC_003888.3	4250514	4251389	-	876	NA	19	20	18	12	12	29	23	43	16	38	44	12	40	28	3	56	20	0
SCO3867	NC_003888.3	4251449	4251661	-	213	NA	21	31	26	6	1	16	12	55	28	23	55	13	34	19	1	57	30	3
SCO3868	NC_003888.3	4251867	4252493	+	627	NA	65	73	104	20	16	52	16	71	53	64	33	19	115	78	6	12	35	17
SCO3869	NC_003888.3	4252857	4257887	+	5031	NA	363	374	543	117	116	514	153	318	175	504	328	108	765	445	33	892	228	58
SCO3870	NC_003888.3	4258228	4258428	-	201	NA	519	818	1024	284	301	610	305	837	358	592	501	167	710	484	36	1046	609	151
SCO3871	NC_003888.3	4258993	4259403	+	411	NA	83	55	65	30	17	80	52	115	42	86	77	39	83	99	10	165	95	11
SCOt33	NC_003888.3	4259791	4259867	-	77	NA	24	29	81	10	11	28	20	12	3	13	9	4	34	21	2	24	17	1
SCO3872	NC_003888.3	4259979	4260536	-	558	NA	82	55	145	49	55	138	77	141	57	107	152	52	219	79	6	236	134	17
SCO3873	NC_003888.3	4260741	4263314	-	2574	NA	1020	782	1335	443	406	1053	722	1083	433	1032	1243	371	1790	997	85	2363	910	194
SCO3874	NC_003888.3	4263378	4265438	-	2061	gyrB	771	740	1143	304	339	836	567	994	397	833	1281	291	1427	838	67	2400	787	166
SCO3875	NC_003888.3	4265873	4266445	-	573	NA	0	3	1	0	1	1	0	5	3	7	2	0	4	0	0	3	0	0
SCO3876	NC_003888.3	4266442	4267563	-	1122	recF	116	104	162	55	42	143	67	126	81	183	119	50	316	141	11	286	86	12
SCO3877	NC_003888.3	4267594	4268469	-	876	NA	266.50	394	467	188.50	156.50	331.50	159	479	197	346.50	450	126.50	758.50	351.50	27	711	317.50	42
SCO3878	NC_003888.3	4268713	4269843	-	1131	NA	894	1299	1315	515	379	1035	517	1333	568	1576	1294	468	2121	1378	94	3445	907	145
SCO3879	NC_003888.3	4270778	4272748	-	1971	dnaA	180	142	389	63	87	203	103	129	78	183	177	92	354	183	22	324	120	27
SCO3880	NC_003888.3	4273127	4273264	+	138	rpmH	633	577	921	173	223	588	285	722	344	595	490	163	1094	485	44	1415	485	109
SCO3881	NC_003888.3	4273286	4273657	+	372	NA	1011	873	1467	278	312	870	402	1019	422	940	834	304	1905	828	69	2423	543	155
SCO3882	NC_003888.3	4273654	4274028	+	375	NA	310	324	524	125	91	325	153	430	173	453	372	105	607	339	24	806	274	95
SCO3883	NC_003888.3	4274032	4275327	+	1296	NA	919	771	1322	502	469	1204	761	1337	471	1312	1542	439	2091	1227	68	3371	1075	223
SCO3884	NC_003888.3	4275343	4275855	+	513	NA	655	573	690	194	193	544	299	631	273	643	466	182	1437	720	74	1123	393	149
SCO3885	NC_003888.3	4275980	4276699	+	720	gidB	43	57	39	15	10	64	28	64	33	88	71	28	152	64	7	141	26	20
SCO3886	NC_003888.3	4277251	4278078	+	828	NA	136	156	180	68	62	205	102	205	77	283	271	72	408	189	10	733	206	65
SCO3887	NC_003888.3	4278195	4279181	+	987	NA	107	94	138	33	38	168	57	171	55	205	237	73	299	127	8	639	138	15
SCO3888	NC_003888.3	4279519	4280136	+	618	NA	61	174	186	83	26	70	47	133	59	114	90	35	172	122	8	217	77	21
SCO3889	NC_003888.3	4280212	4280544	-	333	NA	444	333	824	173	157	391	273	411	164	379	609	113	488	344	27	1493	383	58
SCO3890	NC_003888.3	4280583	4281551	-	969	NA	800	532	773	283	169	778	449	917	265	1355	965	199	1480	1071	38	2417	648	149
SCO3891	NC_003888.3	4281711	4282559	-	849	NA	141	125	184	37	56	154	61	157	73	154	146	54	366	153	17	403	130	14
SCO3892	NC_003888.3	4282577	4283287	-	711	NA	40	65	92	15	22	77	24	78	29	62	69	23	101	46	7	170	64	5
SCO3893	NC_003888.3	4283316	4285007	-	1692	NA	733	992	1101	360	265	829	356	1142	521	1137	1149	389	1729	1084	96	2621	891	196
SCO3894	NC_003888.3	4285147	4287582	-	2436	NA	190	152	287	73	93	274	141	215	74	213	268	102	419	181	23	674	261	33
SCO3895	NC_003888.3	4287627	4289990	-	2364	NA	235	224	267	86	102	224	113	248	101	210	250	103	572	176	18	519	220	45
SCO3896	NC_003888.3	4290216	4291667	+	1452	NA	103	74	170	24	29	107	55	104	44	80	115	38	245	107	14	289	81	20
SCO3897	NC_003888.3	4291764	4292357	-	594	NA	295	117	372	109	94	318	131	137	73	319	129	70	432	205	28	509	149	56
SCO3898	NC_003888.3	4292389	4293666	-	1278	NA	13	8	26	3	8	22	12	29	7	10	26	4	33	19	1	41	13	0
SCO3899	NC_003888.3	4293746	4294828	-	1083	NA	1500	800	1144	577	627	2681	1913	2064	491	1762	3492	677	4899	1734	102	8412	2370	263
SCO3900	NC_003888.3	4294873	4295550	-	678	NA	852	536	837	235	281	1216	673	992	279	837	1144	225	2168	862	89	2996	790	140
SCO3901	NC_003888.3	4296215	4298602	+	2388	NA	352	392	747	147	121	752	262	416	145	734	497	223	1521	535	33	1382	434	74
SCO3902	NC_003888.3	4298723	4300231	+	1509	NA	147	148	285	65	60	189	106	165	51	168	134	43	262	134	13	456	148	21
SCO3903	NC_003888.3	4300309	4301340	-	1032	NA	196	207	334	86	94	269	105	336	96	298	294	120	474	243	7	868	217	36
SCO3904	NC_003888.3	4301402	4302523	-	1122	NA	300	284	672	147	153	508	285	597	188	437	663	148	721	457	30	1501	593	69
SCO3905	NC_003888.3	4302661	4302966	-	306	NA	47	93	68	21	24	57	30	136	45	54	155	30	63	72	4	254	76	4
SCO3906	NC_003888.3	4303242	4303532	+	291	rpsF	1048	1059	1666	460	439	963	754	1297	575	1150	1065	363	2822	1180	117	2508	982	342
SCO3907	NC_003888.3	4303613	4304212	+	600	NA	297	244	379	90	121	309	145	379	136	343	411	129	849	307	32	937	241	76
SCO3908	NC_003888.3	4304258	4304494	+	237	rpsR	421	470	658	256	279	462	349	636	459	563	851	237	1745	503	59	1510	570	170
SCO3909	NC_003888.3	4304513	4304959	+	447	rplI	930	864	1702	399	401	684	650	933	445	873	1084	386	2523	767	101	2665	661	191
SCO3910	NC_003888.3	4305060	4306406	-	1347	NA	25	46	27	22	19	61	25	72	27	59	68	12	183	67	1	116	33	16
SCO3911	NC_003888.3	4306857	4308332	+	1476	NA	198	308	463	141	112	227	133	285	183	279	263	105	571	203	30	552	186	89
SCO3912	NC_003888.3	4308427	4309812	+	1386	NA	30	32	16	10	8	20	8	37	8	88	13	10	119	52	0	39	12	3
SCO3913	NC_003888.3	4309887	4310339	-	453	NA	83	86	150	29	59	106	43	174	49	119	113	42	111	98	5	267	133	58
SCO3914	NC_003888.3	4310386	4310850	-	465	NA	45	47	64	16	24	64	25	61	28	54	82	25	99	40	2	218	73	7
SCO3915	NC_003888.3	4310991	4312205	+	1215	NA	2	6	7	0	2	11	0	3	4	5	1	0	1	3	1	4	1	0
SCO3916	NC_003888.3	4312354	4312773	+	420	NA	0	0	0	0	0	2	1	3	0	2	1	0	4	0	0	3	0	0
SCO3917	NC_003888.3	4312891	4313757	-	867	NA	123	132	96	41	43	202	69	223	78	313	196	73	437	154	6	445	112	19
SCO3918	NC_003888.3	4313836	4314318	-	483	NA	33	27	19	12	0	14	14	20	7	12	25	10	17	20	0	83	32	4
SCO3919	NC_003888.3	4314389	4315294	-	906	NA	55	67	104	44	47	98	33	129	64	111	244	46	108	135	7	633	139	24
SCO3920	NC_003888.3	4315547	4316725	-	1179	NA	39	69	56	22	11	82	18	76	28	75	57	24	131	57	7	167	55	13
SCO3921	NC_003888.3	4316722	4317216	-	495	NA	22	8	13	8	10	23	13	30	7	41	32	4	35	33	0	53	17	1
SCO3922	NC_003888.3	4317222	4317599	-	378	NA	40	39	61	30	38	100	60	95	32	91	71	21	82	80	7	186	85	14
SCO3923	NC_003888.3	4317659	4317976	+	318	NA	20	9	9	5	9	12	16	29	11	21	14	16	39	18	3	30	14	2
SCO3924	NC_003888.3	4318118	4318330	+	213	NA	77	155	145	62	24	92	60	310	98	271	217	86	480	255	9	283	197	52
SCO3925	NC_003888.3	4318648	4319373	+	726	NA	22	84	45	23	40	62	31	155	35	119	111	50	274	101	5	194	66	6
SCO3926	NC_003888.3	4319501	4319911	+	411	NA	15	161	104	37	24	14	20	222	93	39	76	51	163	49	0	273	91	13
SCO3927	NC_003888.3	4319961	4321502	-	1542	NA	73	66	119	28	28	111	50	90	37	93	69	33	201	100	4	221	56	11
SCO3928	NC_003888.3	4321756	4323594	+	1839	NA	600	612	783	420	201	669	558	938	412	968	804	251	847	905	65	1566	612	127
SCO3929	NC_003888.3	4324441	4325793	-	1353	NA	961	1050	1340	439	369	1654	760	1795	561	1470	2044	396	1509	1221	81	4065	1641	270
SCO3930	NC_003888.3	4325990	4326556	+	567	NA	1	7	13	1	1	5	4	6	0	3	3	6	11	0	0	8	5	0
SCO3931	NC_003888.3	4326866	4327165	+	300	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SCO3932	NC_003888.3	4327576	4328355	-	780	NA	43	37	54	19	13	34	28	37	24	33	44	16	52	36	4	128	58	1
SCO3933	NC_003888.3	4328521	4328871	+	351	NA	1	2	10	0	0	2	0	1	0	9	0	51	8	2	0	1	1	0
SCO3934	NC_003888.3	4328871	4330172	+	1302	NA	0	4	1	0	3	7	0	1	1	2	3	129	25	4	0	0	1	0
SCO3935	NC_003888.3	4330169	4330366	+	198	NA	3	1	0	0	0	0	0	0	0	2	0	4	2	5	0	0	0	0
SCO3936	NC_003888.3	4330663	4332021	+	1359	NA	0	1	0	0	0	1	0	0	2	1	1	2	2	0	0	8	3	0
SCO3937	NC_003888.3	4332160	4333647	-	1488	NA	56	165	122	42	37	56	47	187	77	105	114	62	117	81	8	167	121	25
SCO3938	NC_003888.3	4333799	4333930	+	132	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
SCO3939	NC_003888.3	4334010	4335458	+	1449	NA	13	12	13	1	8	15	6	13	5	26	18	4	25	12	0	53	18	0
SCO3940	NC_003888.3	4335483	4336355	-	873	NA	225	507	459	171	82	525	113	468	302	591	500	180	780	466	11	1664	267	30
SCO3941	NC_003888.3	4336537	4337643	-	1107	NA	198	206	309	76	51	237	121	192	108	237	199	82	415	247	22	668	142	33
SCO3942	NC_003888.3	4337841	4338065	+	225	NA	1	5	0	2	3	2	1	10	3	7	3	2	12	10	0	11	3	0
SCO3943	NC_003888.3	4338034	4339146	-	1113	NA	11	129	101	54	17	30	11	95	44	22	76	52	157	76	1	267	55	5
SCO3944	NC_003888.3	4339565	4340644	+	1080	NA	121	100	121	26	38	136	96	188	51	161	163	39	277	124	14	476	117	13
SCO3945	NC_003888.3	4340932	4342437	+	1506	NA	178	126	139	28	84	138	190	211	67	142	357	15	659	54	8	328	263	39
SCO3946	NC_003888.3	4342458	4343462	+	1005	NA	28	41	31	6	23	16	36	48	7	19	77	3	152	4	1	64	46	6
SCO3947	NC_003888.3	4343538	4347056	+	3519	NA	25	37	37	1	10	21	30	34	12	35	60	5	109	8	1	61	35	5
SCO3948	NC_003888.3	4347161	4348843	+	1683	NA	8	5	23	2	1	14	5	11	7	10	19	5	31	17	1	20	12	3
SCO3949	NC_003888.3	4348966	4350015	+	1050	NA	0	3	2	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0
SCO3950	NC_003888.3	4350063	4350980	-	918	NA	85	49	79	19	24	88	42	84	33	95	45	25	150	80	7	137	60	6
SCO3951	NC_003888.3	4351038	4352000	-	963	NA	120	103	140	30	32	179	53	170	56	168	60	56	293	154	6	293	85	19
SCO3952	NC_003888.3	4351997	4352455	-	459	NA	5	6	2	3	3	14	3	14	5	18	16	4	40	8	0	29	12	0
SCO3953	NC_003888.3	4352462	4353010	-	549	NA	35	37	21	10	4	33	8	38	30	80	12	20	91	68	0	39	15	8
SCO3954	NC_003888.3	4353121	4354878	-	1758	NA	11	10	13	9	3	10	2	13	7	15	5	2	16	10	0	24	1	1
SCO3955	NC_003888.3	4354875	4355894	-	1020	NA	1	3	10	0	0	3	2	1	2	0	2	0	9	3	0	12	5	2
SCO3956	NC_003888.3	4355990	4356952	+	963	NA	92	87	86	27	47	205	98	188	48	286	275	59	309	214	3	194	128	25
SCO3957	NC_003888.3	4356969	4357850	+	882	NA	48	35	49	22	21	109	70	102	31	169	165	33	169	124	5	160	67	2
SCO3958	NC_003888.3	4357847	4358758	+	912	NA	65	90	75	23	18	152	99	129	32	171	181	40	303	251	6	197	77	9
SCO3959	NC_003888.3	4358770	4359489	+	720	NA	38	55	46	22	15	97	83	101	22	139	120	31	177	149	4	122	42	9
SCO3960	NC_003888.3	4359709	4360551	-	843	NA	155	188	285	93	61	250	89	248	110	263	170	82	506	217	24	488	133	19
SCO3961	NC_003888.3	4360548	4361825	-	1278	NA	463	554	778	225	159	646	252	666	249	833	572	269	1179	687	63	1512	417	69
SCO3962	NC_003888.3	4362335	4363267	-	933	NA	144	152	212	74	56	156	86	189	77	154	148	40	254	150	10	404	131	19
